Title,Authors,Published,Abstract,Link,PrimaryCategory,Categories
Minimal surfaces in S^2xS^2,"Francisco Torralbo, Francisco Urbano",2013-01-08 16:22:24+00:00,"A general study of minimal surfaces of the Riemannian product of two spheres
S^2xS^2 is tackled. We stablish a local correspondence between (non-complex)
minimal surfaces of S^2xS^2 and certain pair of minimal surfaces of the sphere
S^3. This correspondence also allows us to link minimal surfaces in S^3 and in
the Riemannian product S^2xR. Some rigidity results for compact minimal
surfaces are also obtained.",http://arxiv.org/pdf/1301.1580v1,math.DG,"['math.DG', '53C42 (Primary) 53C40 (Secondary)']"
Compactness of conformal Chern-minimal surfaces in Hermitian surface,Xiaowei Xu,2023-09-07 13:50:02+00:00,"The Chern-minimal surfaces in Hermitian surface play a similar role as
minimal surfaces in K\""ahler surface (see \cite{[PX-21]}) from the viewpoint of
submanifolds. This paper studies the compactness of Chern-minimal surfaces. We
prove that any sequence $\{f_n\}$ of conformal Chern-minimal maps from closed
Riemann surface $(\Sigma,\emph{\texttt{j}})$ into a compact Hermitian surface
$(M, J, h)$ with bounded area has a bubble tree limit, which consisting of a
Chern-minimal map $f_0$ from $\Sigma$ into $M$ and a finite set of
Chern-minimal maps from $S^2$ into $M$. We also show that the limit preserves
area and homotopy class.",http://arxiv.org/pdf/2309.03718v1,math.DG,['math.DG']
Barriers to Topologically Minimal Surfaces,David Bachman,2009-03-10 14:43:54+00:00,"In earlier work we introduced topologically minimal surfaces as the analogue
of geometrically minimal surfaces. Here we strengthen the analogy by showing
that complicated amalgamations act as barriers to low genus, topologically
minimal surfaces.",http://arxiv.org/pdf/0903.1692v1,math.GT,"['math.GT', '57M99']"
Generalized Bernstein Theorem for Stable Minimal Plateau Surfaces,Gaoming Wang,2022-10-20 18:04:52+00:00,"In this paper, we consider a Generalized Bernstein Theorem for a type of
generalized minimal surfaces, namely minimal Plateau surfaces. We show that if
an orientable minimal Plateau surface is stable and has quadratic area growth
in $\mathbb{R}^3 $, then it is flat.",http://arxiv.org/pdf/2210.11500v1,math.DG,"['math.DG', '53A10']"
A Correspondence Between Maximal Surfaces and Timelike Minimal Surfaces in $\mathbb{L}^3$,Aryaman Patel,2019-09-17 12:17:19+00:00,"We show that to every maximal surface with conelike singularities in
Lorentz-Minkowski space $\mathbb{L}^3$ that can be locally represented as the
graph of a smooth function, there exists a corresponding timelike minimal
surface in $\mathbb{L}^3$. There exists a linear transformation between such a
maximal surface and its corresponding timelike minimal surface and it maps the
singularities of one to the singularities of the other. Moreover, this
transformation establishes a one-one correspondence between such maximal
surfaces and timelike minimal surfaces and also preserves the one-one property
of the Gauss map. This leads to a Kobayashi type theorem for timelike minimal
surfaces in $\mathbb{L}^3$. Finally, we derive some non-trivial identities
using existing Euler-Ramanujan identities, and some familiar timelike minimal
surfaces in parametric form.",http://arxiv.org/pdf/1909.07744v1,math.DG,['math.DG']
Exotic Minimal Surfaces,Francisco J. Lopez,2010-04-15 15:38:54+00:00,"We prove a general fusion theorem for complete orientable minimal surfaces in
$\mathbb{R}^3$ with finite total curvature. As a consequence, complete
orientable minimal surfaces of weak finite total curvature with exotic geometry
are produced. More specifically, universal surfaces (i.e., surfaces from which
all minimal surfaces can be recovered) and space-filling surfaces with
arbitrary genus and no symmetries.",http://arxiv.org/pdf/1004.2656v1,math.DG,"['math.DG', '53A10 (Primary), 49Q05 (Secondary), 49Q10, 53C42']"
Minimal surfaces and the new main inequality,"Vladimir Markovic, Nathaniel Sagman",2022-12-31 16:47:10+00:00,"We establish the new main inequality as a minimizing criterion for minimal
maps to products of $\mathbb{R}$-trees, and the infinitesimal new main
inequality as a stability criterion for minimal maps to $\mathbb{R}^n$. Along
the way, we develop a new perspective on destabilizing minimal surfaces in
$\mathbb{R}^n$, and as a consequence we reprove the instability of some
classical minimal surfaces; for example, the Enneper surface.",http://arxiv.org/pdf/2301.00249v2,math.DG,['math.DG']
Ruled minimal surfaces in $\Bbb R^3$ with density $e^z$,"Nguyen Minh Hoang, Doan The Hieu",2009-01-25 15:38:02+00:00,"We classify ruled minimal surfaces in $\Bbb R^3$ with density $e^z.$ It is
showed that there is no noncylindrical ruled minimal surface and there is a
family of cylindrical ruled minimal surfaces in $\Bbb R^3$ with density $e^z.$
It is also proved that all translation minimal surfaces are ruled.",http://arxiv.org/pdf/0901.3904v2,math.DG,"['math.DG', '53C25 (Primary), 53A10 (Secondary), 49Q05']"
Uniformization of surfaces with boundary and the application to the triple junction surfaces with negative Euler characteristic,Gaoming Wang,2021-10-25 05:56:34+00:00,"The conformal structure on minimal surfaces plays a key role in studying the
properties of minimal surfaces. Here we extend the results of uniformization of
surfaces with boundary to get the (weak) uniformization results for triple
junction surfaces.",http://arxiv.org/pdf/2110.12656v1,math.DG,['math.DG']
Transforms for minimal surfaces in the 5-sphere,"J. Bolton, L. Vrancken",2005-02-17 09:20:30+00:00,"We define two transforms between minimal surfaces with non-circular ellipse
of curvature in the 5-sphere, and show how this enables us to construct, from
one such surface, a sequence of such surfaces. We also use the transforms to
show how to associate to such a surface a corresponding ruled minimal
Lagrangian submanifold of complex projective 3-space. We illustrate this
explicitly in the case of bipolar minimal surfaces.",http://arxiv.org/pdf/math/0502370v1,math.DG,"['math.DG', '53B25; 53B20']"
